name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,sea food,coffe,delivery,burger shop,online order,City,Street
קפה קפה,8.4,2667,מחיר סביר,274,כשר,"מבנה באר שבע, באר שבע",0,0,0,0,0,1,0,0,1,באר שבע,מבנה באר שבע
בית קפה 88 Eighty Eight,0,0,סביר,0,לא כשר,"אחוזה 88, רעננה",0,0,0,0,0,1,0,0,0,רעננה,אחוזה 88
ריבר,7.6,2599,מחיר סביר,675,לא כשר,"המדע 6, רחובות",1,0,0,0,0,0,1,0,1,רחובות,המדע 6
פטרה,8.2,5127,מחיר סביר,747,לא כשר,"מפקורה 4, אשדוד",0,0,1,0,1,0,1,0,1,אשדוד,מפקורה 4
ג'פניקה,8.3,719,מחיר סביר,434,כשר,"דרך אבא הלל 301, רמת גן (קניון איילון)",1,1,0,0,0,0,1,0,1,רמת גן (קניון איילון),דרך אבא הלל 301
פוטטעוף,8.3,7,ציון העסק 8.3,67,כשר,"תאנה, חריש",0,0,1,0,0,0,1,0,0,חריש,תאנה
קפה לנדוור,7.8,1701,מחיר סביר,244,כשר,"דרך ישראל בר יהודה 111, חיפה",0,1,0,0,0,1,1,0,1,חיפה,דרך ישראל בר יהודה 111
לנדוור רעות,8,636,מחיר סביר,724,לא כשר,"מרכז נופש וספורט, מודיעין מכבים רעות",0,0,0,0,0,1,1,0,1,מודיעין מכבים רעות,מרכז נופש וספורט
קפה שקד,8.2,2138,מחיר סביר,1253,לא כשר,"אלוף דוד 40, רמת גן",0,1,0,0,0,1,0,0,0,רמת גן,אלוף דוד 40
אורלי סיטבון פטיסרי,9.1,436,ציון העסק 9.1,465,כשר • ייצור בהתאמה אישית,"יצחק שדה 7, נהריה",0,1,0,0,0,1,1,0,1,נהריה,יצחק שדה 7
מדיטרה נתניה,8.4,770,ציון העסק 8.4,205,לא כשר,"שדרות ניצה 20, נתניה",0,0,1,0,0,0,0,0,1,נתניה,שדרות ניצה 20
בקר גריל בשרים,7.8,186,מחיר סביר,255,כשר,"אבני נזר 46, מודיעין עילית",0,0,1,0,0,0,0,0,0,מודיעין עילית,אבני נזר 46
סלטה,9,1694,מחיר סביר,739,כשר,"רמב""ם 10, רעננה",0,1,0,0,1,1,1,0,1,רעננה,"רמב""ם 10"
המקסיקני,0,0,מחיר סביר,0,לא כשר,כסיפה,0,0,0,0,0,0,0,0,0,כסיפה,
אייס אנד בוקס,0,3,סביר,0,כשר,"קניון מלחה, ירושלים",0,1,0,0,0,1,1,0,0,ירושלים,קניון מלחה
יוליס סושי בר,8.6,18,ציון העסק 8.6,316,לא כשר,"שדרות תל חי, אשדוד",1,0,0,0,0,0,1,0,0,אשדוד,שדרות תל חי
Mai Way,9,2024,מחיר סביר,1237,כשר,"כיכר צפניה, אשקלון",1,0,0,0,0,0,1,0,1,אשקלון,כיכר צפניה
טוטורו סושי בר,0,1,ציון העסק 8.8,0,לא כשר,"גרשון דובינבוים 25, באר שבע",1,0,0,0,0,0,1,0,0,באר שבע,גרשון דובינבוים 25
אסתר,8.6,2651,מחיר סביר,743,לא כשר,"דרך העצמאות 8, יהוד מונוסון",0,0,1,0,0,0,0,0,1,יהוד מונוסון,דרך העצמאות 8
גרג קיטשן,0,4,סביר,0,כשר,"מעלה כמון 5, כרמיאל (קניון חוצות כרמיאל)",0,1,0,0,0,1,1,0,0,כרמיאל (קניון חוצות כרמיאל),מעלה כמון 5
מסעדת מוראנו,0,0,ציון העסק 8.3,0,לא כשר,מעיליא,0,1,0,0,0,0,0,0,0,מעיליא,
צ'ייסר5,0,7,0,0,כשר,"ארלוזורוב 6, רמת גן",0,0,0,0,0,0,1,0,1,רמת גן,ארלוזורוב 6
באביס בית גחלים,8.5,2271,מחיר סביר,1411,כשר,"הבנאים 3, אשדוד (פורום)",0,0,1,1,0,0,1,0,1,אשדוד (פורום),הבנאים 3
ארקפה,0,1,מחיר סביר,0,לא כשר,"הנגר 1, הוד השרון",0,0,0,0,0,1,0,0,0,הוד השרון,הנגר 1
חוף אכזיב,8.9,2722,ציון העסק 8.9,565,לא כשר,"גן לאומי אכזיב, נהריה",0,0,0,0,0,0,0,0,0,נהריה,גן לאומי אכזיב
אצה סושי בר,7.6,77,מחיר סביר,1811,כשר,"הרכס 31, מעלה אדומים",1,0,0,0,0,0,1,0,1,מעלה אדומים,הרכס 31
Roll & Soul,7.8,1112,מחיר סביר,287,כשר,"הסיבים 6, פתח תקווה",1,0,1,0,0,0,1,0,1,פתח תקווה,הסיבים 6
ג'פניקה,6.6,52,מחיר סביר,265,כשר,"צופית 40, רמלה",1,0,0,0,0,0,1,0,1,רמלה,צופית 40
לה קרנה,8.8,2380,מחיר סביר,1028,כשר,"חיים עוזר 1, פתח תקווה",0,0,1,0,0,0,1,1,1,פתח תקווה,חיים עוזר 1
רוטצ' 64,7.8,108,מחיר סביר,915,לא כשר,"רוטשילד 64, ראשון לציון",0,0,0,0,0,0,1,0,1,ראשון לציון,רוטשילד 64
פיתה בשרים על האש,8.4,525,מחיר זול,425,כשר,"שדרות חיים וייצמן 11, נתניה",0,0,1,0,0,0,0,0,0,נתניה,שדרות חיים וייצמן 11
טאקוס טורטיה בר,8.7,1240,מחיר סביר,557,כשר,"דרך רמתיים 69, הוד השרון",0,0,1,0,0,0,1,0,1,הוד השרון,דרך רמתיים 69
אנונה,8.5,1625,מחיר סביר,438,לא כשר,"יפתח הגלעדי 17, אשקלון",0,1,0,0,0,1,1,0,1,אשקלון,יפתח הגלעדי 17
בליקר בייקרי,7.9,840,מחיר סביר,205,כשר,"קניון רננים, רעננה",0,1,0,0,0,1,1,0,1,רעננה,קניון רננים
הבוטיק מטבח איטלקי,0,0,0,0,לא כשר,"נחלת יצחק 18, תל אביב יפו",0,1,0,0,0,0,0,0,0,תל אביב יפו,נחלת יצחק 18
Red Heifer Steakhouse,8.2,504,מחיר יקר,122,כשר,"דוד המלך 26, ירושלים",0,0,1,0,0,0,0,0,0,ירושלים,דוד המלך 26
רונן בשרים פיתה אקספרס,7,116,מחיר סביר,180,כשר,"שער העמק 2, נתניה",0,0,1,0,0,0,1,0,1,נתניה,שער העמק 2
קפה קפה,7.6,1121,מחיר סביר,240,כשר,"סוקולוב 48, חולון",0,0,0,0,0,1,1,0,1,חולון,סוקולוב 48
מוקפץ תאילנדי,8.1,360,מחיר סביר,342,כשר,"שדרות הגעתון 28, נהריה (קניון פנורמה)",1,0,1,0,0,0,1,0,1,נהריה (קניון פנורמה),שדרות הגעתון 28
אייקון פיטנס,8.9,264,מחיר זול,249,לא כשר,"רחבעם זאבי 4, אשקלון",1,0,0,0,0,0,1,0,1,אשקלון,רחבעם זאבי 4
פיצה פרמזנו,8.9,374,מחיר סביר,307,כשר,"סנונית 18, נס ציונה",0,1,0,0,0,0,1,0,1,נס ציונה,סנונית 18
איטליה הגדולה,0,0,מחיר זול,0,כשר,"שלמה המלך 16, ירושלים",0,1,0,0,0,0,1,0,0,ירושלים,שלמה המלך 16
ארקפה,8.5,1894,מחיר סביר,611,לא כשר,"יצחק רבין 2, קרית אונו",0,0,0,0,0,1,1,0,1,קרית אונו,יצחק רבין 2
המקום,8.9,648,מחיר סביר,53,לא כשר,נטועה,0,0,0,0,0,0,0,0,0,נטועה,
קניאל בשרים,8.4,2270,מחיר זול,759,לא כשר,"דרך בן צבי 106, תל אביב יפו",0,0,1,0,0,0,0,0,0,תל אביב יפו,דרך בן צבי 106
חומוס שוק,8.6,1109,מחיר זול,326,כשר,"ויצמן 207, כפר סבא (מתחם G כפר סבא)",0,0,0,0,0,0,1,0,1,כפר סבא (מתחם G כפר סבא),ויצמן 207
תמרלין,8.8,500,ציון העסק 8.8,1122,לא כשר,נהלל,0,0,1,0,0,1,1,0,1,נהלל,
ריקו ריקו,9.2,116,ציון העסק 9.2,1748,כשר,"שדרות חיים וייצמן 9, רמלה",0,0,1,0,0,0,1,1,1,רמלה,שדרות חיים וייצמן 9
אמורה מיו,9,8628,מחיר סביר,2352,לא כשר,"אבן גבירול 100, תל אביב יפו",0,1,0,0,0,0,1,0,1,תל אביב יפו,אבן גבירול 100
מטעמי הגוש,0,0,0,0,לא כשר,"צומת גוש עציון, יהודה ושומרון",0,0,1,0,0,0,0,0,0,יהודה ושומרון,צומת גוש עציון
מסעדת אלמנאר,0,0,0,0,לא כשר,"גאיה סנטר, ירכא",0,0,0,0,0,0,0,0,0,ירכא,גאיה סנטר
בלה,9,2946,מחיר סביר,1130,לא כשר,"העץ הגדול 2142, בית שערים",0,1,1,1,0,0,0,0,1,בית שערים,העץ הגדול 2142
מוזס,7.8,3713,מחיר סביר,359,לא כשר,"ברל כצנלסון 10, כפר סבא",0,0,1,0,0,0,1,1,1,כפר סבא,ברל כצנלסון 10
רנדבו,8.6,383,מחיר סביר,242,כשר,"דרך בית לחם 110, ירושלים",0,1,0,0,0,0,0,0,0,ירושלים,דרך בית לחם 110
מיץ מרק,8.6,1738,מחיר זול,163,לא כשר,"כצנלסון 49, גבעתיים",0,0,0,0,0,1,0,0,0,גבעתיים,כצנלסון 49
midori sushi by ronen,0,3,0,0,כשר,"עץ השדה 11, אומץ",1,0,1,0,0,0,1,0,0,אומץ,עץ השדה 11
אננדה,0,42,0,0,לא כשר,פרדס חנה כרכור,0,0,0,0,0,0,0,0,0,פרדס חנה כרכור,
אסייתיקה,8,1602,מחיר סביר,404,כשר,"יצחק אבינו 5, באר שבע",1,0,0,0,0,0,1,0,1,באר שבע,יצחק אבינו 5
Balabait,8.8,1805,מחיר סביר,929,לא כשר,"הרצל 207, רחובות",0,0,0,0,0,0,1,1,1,רחובות,הרצל 207
בריסטו,0,17,0,0,כשר,"הלל יפה 11, חדרה",0,1,0,0,0,1,0,0,0,חדרה,הלל יפה 11
דרך האוכל,7.5,131,ציון העסק 7.5,157,לא כשר,"חניתה 16, חיפה",0,0,1,0,0,0,1,0,0,חיפה,חניתה 16
פיצה איקס PIZZA X,8.9,492,ציון העסק 8.9,1292,לא כשר,"עמק החולה 76, מודיעין מכבים רעות (קאנטרי סנטר)",0,1,0,0,0,0,1,0,1,מודיעין מכבים רעות (קאנטרי סנטר),עמק החולה 76
מטעמי הבית,8.7,353,מחיר זול,271,כשר,"הצורף 1, חולון",0,0,1,0,0,0,1,0,0,חולון,הצורף 1
פרדייז Paradise,0,21,מחיר סביר,0,כשר,"ארווין שלזינגר, אשדוד",0,0,0,0,0,0,0,0,0,אשדוד,ארווין שלזינגר
קולאז' KOLAJ,0,40,0,0,לא כשר,"שדרות מנחם בגין 79, עפולה",0,0,0,0,0,0,0,0,0,עפולה,שדרות מנחם בגין 79
הנחתום מאפיה מעדניה,7.1,3,ציון העסק 7.1,93,כשר • ייצור בהתאמה אישית,"נתיב הל""ה",0,0,0,0,0,0,1,0,1,"נתיב הל""ה",
הסולם ביסטרו,0,25,מחיר סביר,0,כשר,"תרשיש פארק התעשייה 1, קיסריה",1,0,1,0,0,0,1,0,1,קיסריה,תרשיש פארק התעשייה 1
שווארמה אלי,8.3,143,מחיר סביר,195,כשר,"אוהלי קדר, באר שבע",0,0,0,0,0,0,1,0,1,באר שבע,אוהלי קדר
הבאגט של דדיקס,0,1,0,0,לא כשר,"העבודה 77, אשקלון",0,0,1,0,0,0,1,0,1,אשקלון,העבודה 77
סושי ברייק Sushi Break,8.8,313,מחיר סביר,637,כשר,"דרך בר יהודה 64, נשר",1,0,0,0,0,0,1,0,1,נשר,דרך בר יהודה 64
ביגה,8.2,1149,מחיר סביר,484,כשר,"חורב 12, חיפה",0,1,0,0,0,1,1,0,1,חיפה,חורב 12
שיפודי הטאבון,8.7,668,מחיר סביר,751,כשר,"מבוא קדם, הוד השרון",0,0,1,0,0,0,1,0,1,הוד השרון,מבוא קדם
בלאק בר בורגר,8.5,1718,מחיר סביר,547,לא כשר,"קניון גבעתיים, גבעתיים",0,0,1,0,0,0,1,1,1,גבעתיים,קניון גבעתיים
אושי אושי,8.5,1144,מחיר סביר,358,כשר,"קניון גבעתיים, גבעתיים",1,1,0,0,0,0,1,0,1,גבעתיים,קניון גבעתיים
אינגליש קייק,8.2,101,מחיר סביר,64,כשר,"שדרות החוצבים, מבשרת ציון",0,1,0,0,0,1,1,0,0,מבשרת ציון,שדרות החוצבים
בא סבבה לדרך,0,1,0,0,כשר • פודטראק,מסד,0,1,0,0,0,1,0,0,0,מסד,
Asia Sushi Boutique,0,0,0,0,כשר,"אחד העם 12, נהריה",1,0,0,0,0,0,1,0,0,נהריה,אחד העם 12
Sawadi Friends Bar,0,0,0,0,לא כשר,"גן לאומי אכזיב, נהריה",0,0,0,0,0,0,0,0,0,נהריה,גן לאומי אכזיב
אצה סושי בר,8.3,34,מחיר סביר,773,כשר,"דרך הגליל 1, ראש פינה",1,0,0,0,0,0,1,0,0,ראש פינה,דרך הגליל 1
מלה ביסטרו,8.4,2891,מחיר סביר,862,לא כשר,"המעיין 1, ירושלים",0,0,0,1,1,0,1,1,1,ירושלים,המעיין 1
לה לונה,8.5,52,ציון העסק 8.5,638,לא כשר,הגושרים,0,1,0,0,0,0,0,0,0,הגושרים,
Wasaki,8.4,89,ציון העסק 8.4,731,לא כשר,"מעלה המסגד 1, מעלות תרשיחא (כיכר הכפר)",1,0,0,0,0,0,1,0,0,מעלות תרשיחא (כיכר הכפר),מעלה המסגד 1
בר איטליה,8.9,676,מחיר יקר,1538,לא כשר,"שדרות עובד בן עמי 113, נתניה",0,1,0,0,0,0,1,0,1,נתניה,שדרות עובד בן עמי 113
הבגט הלוהט,0,4,0,0,לא כשר,"הרצל 4, טירת כרמל",0,0,1,0,0,0,0,0,0,טירת כרמל,הרצל 4
בלה וצ'ארלי,8.8,356,מחיר סביר,1820,כשר,"אלומים, תנובות",0,0,1,0,0,0,1,1,1,תנובות,אלומים
סושי בר,8.4,1413,מחיר סביר,358,לא כשר,"סוקולוב 111, רמת השרון",1,0,0,0,0,0,1,0,1,רמת השרון,סוקולוב 111
טאבון ומסעדת עמאשה,8.5,748,מחיר זול,323,לא כשר,"שכונת ח'אלת חמדאן, עיספיא",0,0,1,0,0,0,0,0,0,עיספיא,שכונת ח'אלת חמדאן
אומה,8.1,693,מחיר סביר,885,לא כשר,"צומת גומא, אזור עמק חולה",1,0,1,1,0,0,0,0,0,אזור עמק חולה,צומת גומא
קפה גרג,6.8,440,מחיר סביר,148,כשר,"עופר גרנד קניון, באר שבע",0,0,0,0,0,1,0,0,0,באר שבע,עופר גרנד קניון
פיצה סלייס Pizza Slice,8.4,247,מחיר סביר,303,כשר,"החלוץ 14, חדרה",0,1,0,0,0,0,1,0,1,חדרה,החלוץ 14
קניבר בורגר,8.6,1926,מחיר סביר,315,לא כשר,"שדרות מוריה 110, חיפה",0,0,1,0,0,0,1,1,1,חיפה,שדרות מוריה 110
נימוס Nemos,8,9,ציון העסק 8,280,לא כשר,ירכא,1,1,0,1,1,0,1,0,0,ירכא,
מיט בר,9,7324,מחיר סביר,1936,לא כשר,"הסדנאות 4, הרצליה",0,0,1,0,0,0,1,1,1,הרצליה,הסדנאות 4
נפגשים אצל אסי בחומוסייה,8.5,365,מחיר זול,24,כשר,"אחוזה 124, רעננה (מרכז פוזין)",0,0,0,0,0,0,1,0,1,רעננה (מרכז פוזין),אחוזה 124
פיאטו,8.5,5431,מחיר סביר,1205,לא כשר,"חיים פקריס 2, רחובות",0,1,0,0,0,0,1,0,1,רחובות,חיים פקריס 2
ג'ו במקומות עבודה,0,0,0,0,לא כשר,בית דגן,0,0,0,0,0,1,0,0,0,בית דגן,
אדום,8.8,4541,מחיר יקר,658,לא כשר,"התחנה הראשונה, ירושלים",0,0,0,0,0,0,1,0,1,ירושלים,התחנה הראשונה
שפילד,9.1,3200,מחיר סביר,600,לא כשר,"דרך מאיר וייסגל 2, רחובות",0,0,1,0,0,0,1,0,1,רחובות,דרך מאיר וייסגל 2
יאן יאן,8.5,2188,מחיר סביר,432,לא כשר,"דרך העצמאות 84, חיפה",1,0,0,0,0,0,1,0,1,חיפה,דרך העצמאות 84
טורטוגה,8.2,1098,מחיר סביר,370,לא כשר,"דוד אלעזר, חיפה",1,1,1,1,1,1,0,0,0,חיפה,דוד אלעזר
סיאול האוס,8.2,469,מחיר סביר,153,לא כשר,"חב""ד 34, ירושלים",1,0,0,0,0,0,0,0,0,ירושלים,"חב""ד 34"
Vamos Amos,7.9,1809,מחיר סביר,785,לא כשר,"סנטר הגליל, ראש פינה",0,0,1,0,1,0,0,1,0,ראש פינה,סנטר הגליל
המקסיקני,0,17,מחיר סביר,0,לא כשר,"שדרות רימון 1, להבים",0,0,0,0,0,0,0,0,0,להבים,שדרות רימון 1
מסעדת אבו עומר,8.9,214,מחיר זול,439,לא כשר,"סחלב, רמת ישי",0,0,1,0,0,0,1,0,0,רמת ישי,סחלב
הלוחש לבצק,8.6,16,ציון העסק 8.6,259,משלוחים בלבד,"התבור 16, אורנית",0,1,0,0,0,0,1,0,0,אורנית,התבור 16
מעלה עשן,8.3,37,ציון העסק 8.3,0,כשר • פודטראק,סנסנה,0,0,1,0,0,0,0,0,0,סנסנה,
קפה לנדוור,8.8,2594,מחיר סביר,550,לא כשר,"השייטת 4, נס ציונה",0,1,0,0,0,1,1,0,1,נס ציונה,השייטת 4
הסושיה,7.6,1309,מחיר סביר,132,לא כשר,"דרך בן גוריון 71, בת ים",1,0,0,0,0,0,1,0,1,בת ים,דרך בן גוריון 71
קפה גרג,7.8,589,מחיר זול,157,כשר,"שדרות יצחק רבין 18, עפולה (עמק סנטר)",0,0,0,0,0,1,0,0,0,עפולה (עמק סנטר),שדרות יצחק רבין 18
מיזו Mizu sushi bar,6.6,62,מחיר סביר,929,כשר,"הטיילת, ראשון לציון",1,1,0,0,0,0,0,0,0,ראשון לציון,הטיילת
סאות' ביץ' החוף הדרומי הרצליה,0,0,0,0,לא כשר,הרצליה,0,0,0,0,0,0,0,0,0,הרצליה,
פלאפל רבי עקיבא,8.2,942,מחיר זול,529,כשר,"רבי עקיבא 31, בני ברק",0,0,1,0,0,0,1,0,0,בני ברק,רבי עקיבא 31
בונה פורטונה,8.2,113,מחיר סביר,217,כשר,"הפטיש 2, טירת כרמל",0,1,0,0,0,0,1,0,1,טירת כרמל,הפטיש 2
שנייצל,8.2,58,ציון העסק 8.2,318,כשר,"דרך ארץ 41, חריש",0,0,1,0,0,0,1,0,0,חריש,דרך ארץ 41
קפה קפה,7.6,75,מחיר סביר,129,כשר,"עופר גרנד קניון, באר שבע",0,0,0,0,0,1,0,0,0,באר שבע,עופר גרנד קניון
זה סושי,8.5,718,מחיר סביר,672,לא כשר • משלוחים בלבד,"ההגנה 13, ראשון לציון",1,0,0,0,0,0,1,0,1,ראשון לציון,ההגנה 13
רוזה אקספרס,7.8,976,מחיר סביר,439,כשר,"עופר רחובות, רחובות",0,0,1,0,0,0,1,1,1,רחובות,עופר רחובות
בארכה,8.7,5682,מחיר סביר,1476,כשר,"הרצל 7, גדרה",0,0,1,0,0,0,1,0,1,גדרה,הרצל 7
טאטי,8.3,5046,מחיר סביר,894,לא כשר,"דרך השלום 53, גבעתיים",0,1,0,0,0,1,1,0,1,גבעתיים,דרך השלום 53
רוסטיקו,9.1,4050,מחיר סביר,1655,לא כשר,"שדרות רוטשילד 15, תל אביב יפו",0,1,0,0,0,0,1,0,1,תל אביב יפו,שדרות רוטשילד 15
אווז 6,8.5,921,מחיר זול,155,כשר,"המלאכה 6, לוד",0,0,1,1,0,0,0,0,0,לוד,המלאכה 6
רוזטה,8,114,מחיר סביר,588,כשר,"אחוזה 141, רעננה",0,1,0,0,0,0,1,0,1,רעננה,אחוזה 141
לצ'ה מטבח איטלקי,8.7,53,ציון העסק 8.7,563,לא כשר • משלוחים בלבד • פודטראק,"פז, אזור העמקים",0,1,0,0,0,0,1,0,0,אזור העמקים,פז
פאפיאנו,0,2,0,0,לא כשר,"אוסקר שינדלר 7, חיפה (אוסקר 7)",0,1,0,0,0,0,0,0,0,חיפה (אוסקר 7),אוסקר שינדלר 7
שואו קפה,8.4,353,מחיר סביר,107,כשר,"עופר לב חדרה, חדרה",0,1,0,0,0,1,1,0,1,חדרה,עופר לב חדרה
סטקיית אביקו,8.5,872,מחיר זול,451,כשר,"שדרות הרצל 60, רמלה",0,0,1,0,0,0,0,0,0,רמלה,שדרות הרצל 60
JLM סושי מקומי,8.3,488,מחיר סביר,151,כשר,"דוד המלך 10, ירושלים",1,0,1,0,0,0,1,0,1,ירושלים,דוד המלך 10
הפאלפל של דוד,8.6,1128,מחיר זול,276,כשר,"מרזוק ועזר 1, קרית אונו",0,0,0,0,0,0,1,0,1,קרית אונו,מרזוק ועזר 1
מסעדת יונס,8.2,2569,מחיר סביר,766,לא כשר,"דרור, אבן יהודה",0,0,1,0,0,1,0,0,0,אבן יהודה,דרור
Moses Shop,0,77,מחיר סביר,0,כשר,"רבי יהודה הנשיא 1, ראשון לציון",0,0,1,0,0,0,1,1,1,ראשון לציון,רבי יהודה הנשיא 1
צ'וקה,7.7,1088,מחיר סביר,245,כשר,"קניון סינמול, חיפה",1,0,1,0,0,0,1,0,1,חיפה,קניון סינמול
מסעדת חאלד עדוי,8.3,2254,מחיר סביר,415,לא כשר,"רב אלוף יעקב דורי 2, חיפה",0,0,0,0,0,0,1,0,1,חיפה,רב אלוף יעקב דורי 2
קפה נמרוד,7.8,719,מחיר סביר,332,מושגח ללא תעודה,"אגמון מרקט, צומת אגמון החולה",0,1,0,0,0,1,0,0,0,צומת אגמון החולה,אגמון מרקט
קסטל,8.8,3413,מחיר סביר,990,לא כשר,"מרכז סיטי, אשדוד",0,0,1,0,1,0,0,0,0,אשדוד,מרכז סיטי
טיב הבשר,9.1,368,מחיר זול,648,לא כשר,"דרך עכו חיפה 140, קרית ביאליק (מרכז צבר)",0,0,1,0,0,0,1,0,0,קרית ביאליק (מרכז צבר),דרך עכו חיפה 140
החומוס של טחינה,9.1,2827,מחיר זול,811,כשר,"הרצל 51, שדרות",0,0,0,0,0,0,0,0,0,שדרות,הרצל 51
קפה קפה,8.2,779,מחיר סביר,138,לא כשר,"גלבוע 1, נוף הגליל",0,0,1,0,0,1,1,0,1,נוף הגליל,גלבוע 1
בליקר בייקרי,7.9,177,מחיר סביר,401,כשר,"דרך הדרום, קרית גת",0,1,0,0,0,1,1,0,0,קרית גת,דרך הדרום
ללוש בראסרי,8,613,מחיר סביר,828,לא כשר,"חיטה 1, באר שבע",0,1,0,0,0,1,1,0,1,באר שבע,חיטה 1
עזרא ובניו,8.4,812,מחיר זול,2344,לא כשר,"ברשבסקי 6, ראשון לציון",0,0,1,0,0,0,1,0,1,ראשון לציון,ברשבסקי 6
שרינה,8.1,7739,מחיר זול,160,כשר,"אימבר 14, פתח תקווה",0,1,0,0,0,1,1,0,1,פתח תקווה,אימבר 14
בסרביה,8.5,425,מחיר סביר,208,לא כשר,"דרך ישראל בר יהודה 131, חיפה",0,0,0,0,0,0,0,0,0,חיפה,דרך ישראל בר יהודה 131
BBB,8.6,2359,מחיר סביר,1016,לא כשר,"הרוקמים 26, חולון",0,0,1,0,0,0,1,1,1,חולון,הרוקמים 26
בגט עובדיה ירכא,0,8,0,0,לא כשר,"מועצה מקומית ירכא, ירכא",0,0,0,1,0,0,0,0,0,ירכא,מועצה מקומית ירכא
באבא גנוש,7.1,91,ציון העסק 7.1,652,לא כשר,"כצנלסון 113, גבעתיים",0,0,0,0,0,0,0,0,1,גבעתיים,כצנלסון 113
Bg Lounge Bar,0,4,0,0,לא כשר,"דרך בן גוריון 136, בת ים (סאן)",0,0,0,0,0,0,1,0,1,בת ים (סאן),דרך בן גוריון 136
מריאנו שיינקמן,8.3,75,ציון העסק 8.3,23,לא כשר,"הנורית 3, חדרה",0,0,0,1,0,0,0,0,0,חדרה,הנורית 3
שנקליש,8.5,66,ציון העסק 8.5,263,לא כשר,עין ראפה,0,0,0,0,0,0,0,0,0,עין ראפה,
איטליה,8.3,12,מחיר סביר,246,לא כשר,בית העמק,0,1,0,0,0,0,0,0,0,בית העמק,
סומאק,0,5,0,0,כשר,"הגדוד השלישי 106, צפת",0,0,1,0,0,0,0,0,1,צפת,הגדוד השלישי 106
סיציליאנו,7,151,מחיר סביר,83,לא כשר,"סוקולוב 56, חולון",0,1,0,0,0,0,1,0,0,חולון,סוקולוב 56
השיפוד והמנגל,8.4,3056,מחיר סביר,751,כשר,"גזית 2, פתח תקווה",0,0,1,0,0,0,1,0,1,פתח תקווה,גזית 2
המקסיקני,0,2,מחיר סביר,0,לא כשר,"קק""ל, באר שבע",0,0,0,0,0,0,0,0,0,באר שבע,"קק""ל"
